body,entities,predicted_entities,compound_score
"$BLSP Lot going on over here at BLSP with a huge following for an OTC, Clean Energy talks, and the completion of a new Plant in the Netherlands. I encourage everyone who isn&#39;t in to throw some money at it. Any day now will be the last time this stock is ever at 2 cents per share. Lets go Team BLSP!! $TSLA $NIO $NKLA",Bullish,Bullish,0.9039
"$TSNP The day to day doesn&#39;t matter! know what you own here... This highly skilled unique team will bring this product to full launch..2021 Will be a fun ride!! JMHO
Check out $ABML if You&#39;re looking for another great long-term hold in the EV ðŸ”‹â™»ï¸ðŸ‡ºðŸ‡² business.  Former $TSLA  engineers developed a revolutionary technology!  GLA",Bullish,Bullish,0.9313
"$BMIX Letâ€™s recap what we have here! 
â€”2614.29% Gain in 5 Days 
- 32.56% Gain Today 
- (2) Permits for lithium dig in Brazil Jan. 4 2021 
-Analysts predict shortage in lithium for electric vehicles by 2025 
-Jan 25, 2021 Biden announced all government fleet going to electric vehicles which will cause more of a shortage of lithium 
-Elon Musk talked about a factory in Brazil so he can obtain own lithium For $TSLA vehicles. 
-Stock has been trending top 10 stocks and top penny stocks! 
-Analysts say this is a BUY BUY BUY!  
 
Sources available!",Bullish,Bullish,0.8076
$AMD Big upgrades coming tomorrow great earnings and guidance $MSFT $AAPL $NVDA $TSLA we need your help to kill shorts tomorrow.,Bullish,Bullish,0.2732
$GME if you love Elon so much help $TSLA ready 2k this week Iâ€™m riding itðŸ˜‚ and $CTRM too,Bullish,Bullish,0.8651
$TSLA tomorrow AH it will do -35% and double that after margin call collektions on Thursday. Cause all the suckers are long with margin money. And the stock price would STILL be totally overvalued :),Bearish,Bearish,-0.0056
$SPY it only takes $TSLA to miss estimates for a nasty waterfall in all those EVs stocks that have been pumped to heaven and beyond,Bearish,Bearish,-0.2263
"$TSLA  no concern relating Share price ? 

Big Short&#39; investor Michael Burry predicts Tesla stock will collapse like the housing bubble: &#39;Enjoy it while it lasts&#39;

https://www.businessinsider.com/big-short-michael-burry-predicts-tesla-stock-price-housing-bubble-2021-1",Bearish,Bearish,-0.1779
$TSLA gonna be biggest rug pull in history tomorrow AH,Bearish,Bullish,0.0
$TSLA was wrong about  last weeks drop but just look at the put option premiums for the summer,Bearish,Bearish,-0.3818
,,Bullish,0.0
$TSLA today we couldnt break 900 because of SPY flash crash.  But we recovered tremendously.  Tomorrow we mooning to $950!,Bullish,Bearish,-0.2828
"$NMGRF I have 226,000 shares of NMGRF. Initial buy at 49 cents USD and averaged up to 86 cents USD as I keep buying. This is an easy $2-$3 on mining approval news, then $3-$4 on Nasdaq listing then $5-$6 on EV partnership with someone like Tesla/GM/Ford not to mention hundreds of specialty companies. 

No crystal ball, however it is conservative to say buying now is a 3x by early 2022. They have an excellent team, which will execute their plans well. The wildcard of Tesla (which NMGRF has an NDA signed with $TSLA) could propel this stock to $10+ once announced.",Bullish,Bullish,0.8934
"$CCIV Davos in the Desert starts tomorrow and runs thru the 28th. Did everybody forget about this?.
 It&#39;s exactly why we didn&#39;t get an announcement today. Its precisely why they flushed out stops all the way to 18. Large block orders have been pouring in for a week.
 The potential $TSLA killer will begin a new era for the Kingdom. Oil is falling out of favor. They know it.

I know what I own, do you??",Bullish,Bearish,-0.8458
$TSLA touch 1200$ tomorrow ðŸ¤‘ðŸ’¸ðŸ’¸,Bullish,Bullish,0.0
"$FSR is the only EV play that hasnâ€™t taken off to the mewn yet.  Been consolidating for a long time..  Ready for blastoff tomorrow... Mewn soon! 
FSRðŸ”œðŸš€ðŸŒ 

 $CCIV $TSLA $SOLO",Bullish,Bullish,0.636
$TSLA 650 after ER donâ€™t buy now for long term way to overvalued,Bearish,Bullish,0.0
$TSLA $500 after er would be nice,Bearish,Bullish,0.4215
$TSLA  This stock will fall in time. Only so many articles and news can keep propping this up. Added to my puts,Bearish,Bullish,0.0
$TSLA way too many bulls here. Bad sign for er,Bearish,Bearish,-0.5423
$TSLA missed the part where Biden mentioned Tesla...EV fleet will be GM + others...maybe a few Tesla&#39;s sprinkled in,Bearish,Bearish,-0.296
,,Bullish,0.0
"$TSLA Advice from a millionaire. Forget about all the fundamentals and focus on the next big disruption. Apple, Amazon, Facebook, Netflix, and now Tesla.",Bullish,Bearish,-0.4019
$PLTR my account is getting fat from $TSLA  $BIDU and $PLTR. ðŸ’µðŸ’µðŸ’µðŸ’µðŸ’µðŸ˜ˆðŸ˜ˆ,Bullish,Bullish,0.0
$AAPL $SPY $MSFT $TSLA FUTURES RIPPIN!!,Bullish,Bullish,0.0
"$COWI Iâ€™m very bullish on this. Like VERY!!! $OZSC $TSLA $ZOM $BLSP 

https://youtu.be/EsNeuWyWI30",Bullish,Bullish,0.5791
"$TSLA $AAPL $FB Canâ€™t wait to see my gains on Wednesday AH, because of these incredible companies! ðŸ˜Ž ðŸ’ªðŸ¼!",Bullish,Bullish,0.4559
$TSLA probably have more to lose than gain at this point . still will probably run up into earnings then pull back significantly shortly after earnings .,Bearish,Bullish,0.1082
"$CCIV the dumb Lucid bull brain:
â€œLucid will be $100bil value because Tesla was. I donâ€™t care about financial or sales!â€
how many Lucid sales in 2021 and 2022??
$TSLA",Bearish,Bullish,0.4501
"$TSLA When Steve Jobs died, Apple was already a worldwide operational company for many years with a stock price proportionate to its value.  It wasn&#39;t just starting out and starting to grow and take off.  TLSA compared to APPL is like comparing an apple (no pun) to an orange.  Two very different companies at direction points in time with their evolution.  I really don&#39;t think you can use that argument.",Bearish,Bearish,-0.296
"$TSLA  The one thing that nobody thinks about is if MUSK dies or something happens to him.  That&#39;s like a meteor coming to earth.  There are other things that could scare an investor but that is by far a doomsday situation.  It seems that the cult thinks they&#39;re unstoppable...Hitler and Mussolini felt that way too...and you know what happened to them.  Just singling out that when something is too out of control it sometime fails.  In 1943 &amp; 1994 The Germans, Italians and Japanese all thought they were taking over the world...by the middle of 1945 they were lucky to be alive...too much unrealistic optimism is not good and that&#39;s what I see here...just stating history with a not so applicable correlation but a correlation regardless. Time to calm down....",Bearish,Bearish,-0.2404
"$TSLA what&#39;s the projected ROI if this goes to 1200 this year? Less than what you could make in new tech stocks. ðŸ¤·ðŸ½â€â™‚ï¸

VW and Toyota at least pay dividends and are not constantly threatened by collapsing market cap.",Bearish,Bearish,-0.031
,,Bullish,0.0
$FCEL $GEVO $PLUG $TSLA $NIO THESE COMPANIES DESERVE 100 LIKES! GET THIS MESSAGE TO 100 LIKES IF YOURE IN THESE COMPANIES,Bullish,Bullish,0.8104
"$GEVO printing well for me ðŸ’°ðŸ’°ðŸ’° Still holding 50k @ $0.97 average and aiming much higher. Started investing in another green company. $VMAR Battery powered boats (like $TSLA on water ðŸ’¸ðŸ’¸ðŸ’¸ just getting started, recent IPO). Micro float. Any news should make it go up. I started an initial position. Will add as needed. Needs some patience.",Bullish,Bullish,0.5574
$TSLA imagine being a ðŸ» and instead of making 700% you lost money over the last year.,Bullish,Bearish,-0.3182
$TSLA look at $CETX  for huge profit - they will release smartdesk ! Big upside to 10$ - go usa,Bullish,Bullish,0.6696
"$NGA Couldn&#39;t believe what happened this week to $NGA but just compared it with $TSLA , SP dropped 61 % from a high of $ 183 on 2/19/2020 to a low of $ 72 on 3/18/2020, how much is it now? You just need to have a little bit patienceâ€¦ this is a solid company and all shorts will be burnedâ€¦",Bullish,Bearish,-0.1901
$AAPL $AMZN $TSLA $QQQ $SPY  The stock market is at or near the most-expensive levels ever by most measures.,Bearish,Bullish,0.0
$TSLA I would give my left nut to see Tesla trade back at 200$! All the tards holding â€œlong termâ€ will soon see that their early investment was actually very late  and they should have taken profits while they could when the stock was near 1000$!,Bearish,Bullish,0.5399
"$TSLA when I go long a stock, I want a multi bagger.  Tesla at almost a trillion valuation fully diluted, this wonâ€™t ever be a double or triple bagger from this price, thatâ€™d make it larger than Apple and Amazon",Bearish,Bullish,0.25
"@aguaman @imingoldwithyou the analyst ratings are Wall Street tools to manipulate the market and make money! Watch â€œInside Jobâ€... when these analysts had to testify to court about the frauds they said â€œratings are our â€œopinionâ€â€... And everybody can express their opinion, even though it could be wrong and misleading... $TSLA #TeslaScam",Bearish,Bearish,-0.8553
"$TSLA Everything has been priced in, bet next week news will just bring it down.",Bearish,Bullish,0.0
,,Bullish,0.0
"$TSLA The swing of 426-432 a variation of $6.00 , perhaps good for Shorties/ Robinhooders to walk away with few dollars in their pocket... but for regular longs this is ...Pathetic...",Bullish,Bearish,-0.6249
$TSLA Took profits at 427 and waiting for this to possibly redip to buy back in. Was planning on holding for 450-500 but since they announced upcoming ER I didnt really want to take chances at this time and possibly use my capital for another play but I still will be watching this,Bullish,Bullish,0.68
$TSLA in at 430...diamond hands baby  ðŸ’Ž,Bullish,Bullish,0.0
$TSLA Iâ€™m fine with the small gains each day. Any real bull is. Only otm option gamblers get mad at a +2% day. This thing is about to break out of a massive wedge on the daily chart with Q3 delivery record but until then Iâ€™m fine with the small gains.,Bullish,Bullish,0.6486
"Soon we will go much higher  
 
$AAPL $TSLA $SPY $AMD $BTC.X",Bullish,Bullish,0.0
$TSLA We expecting another dump just like battery day around this hype for something was less important?,Bearish,Bullish,0.1045
$TSLA  traders getting swatted once again at 428 ðŸ’¢ðŸ—ž $SPY $NASDAQ $DJIA,Bearish,Bullish,0.0
$TSLA going lower,Bearish,Bearish,-0.296
$NKLA  Fools pay top dollar for a concept .. $TSLA  has real products and a factory... $GM is bottom Feeding the EV space..,Bearish,Bearish,-0.4215
"$TSLA  i don&#39;t mind my paper loss on my long term PUT options cause i know this will eventually go to 300... I have a request to my best friend bull&#39;s... CAN YOU BRING THIS UP TO 500 again cause i like to double my short position... 

Bulls and Bear happy side by side, you profit going up I SHORT on the way down... ðŸ˜‚ðŸ˜‚ðŸ˜‚",Bearish,Bullish,0.9349
,,Bullish,0.0
$TSLA I&#39;m crazy! But I have integrity! Don&#39;t post fake shit! Official PRs are what moon stocks.,Bullish,Bearish,-0.8491
$TSLA This probably will get resolved soon. Closely watching. Long on a daily close above 420 and stop below.,Bullish,Bearish,-0.128
$TSLA Stupid as fake tweet.,Bullish,Bearish,-0.7579
$SPY Macd cross for many big ones on the daily chart. Bears getting exhausted with the sell off and running out of fuel. Soon soon to the moon!! $AAPL $AMZN $AMD $TSLA,Bullish,Bearish,-0.4738
$SHLL I donâ€™t know I have good feeling we will see a potential Hyliion-Walmart partnership once the merger is complete. What you think $TSLA   $DPHC  $WKHS bulls.,Bullish,Bullish,0.5267
"i think folks are chasing $RESN because the word lithium is mentioned in the patent and folks are trying to tie it to $TSLA but they are so far off here, unrleted in any way!!!!",Bearish,Bullish,0.0
$TSLA Massive order of 130.... this people pump the fuck out of this.....,Bearish,Bearish,-0.5423
$TSLA sales numbers will be last disappointment on tesla investors. They will wake up and real sell off will start next monday.,Bearish,Bearish,-0.5106
$TSLA like if u want red tomorrow,Bearish,Bullish,0.4215
$TSLA Sold my November calls and bought 10 of the $400 puts for 10/16/20. I am VERY bullish on tesla but i see much more downside potential in the short term. I&#39;ll load back up on shares with my profits from the puts.,Bearish,Bullish,0.5734
$TSLA Today casino won! Bulls and bears lost!,Bearish,Bullish,0.4559
,,Bullish,0.0
$TSLA $500 tomorrow! Shorts playing games! ðŸš€ðŸš€ðŸš€ðŸš€,Bullish,Bullish,0.3365
$SPCE â€œUnparalleled growth potentialâ€ This is $TSLA 2.0.,Bullish,Bullish,0.3818
$TSLA everytime Musk says &quot;the price is too high&quot; it goes up is what I meant to say,Bullish,Bullish,0.0
"$TSLA open at 435, run to 450",Bullish,Bullish,0.0
"$SPY $TSLA  Oh man, break the bank and go All In..

MUSK IPO SpaceX...",Bullish,Bullish,0.0
"$TSLA Why is this muthufuckers going up after a flop battery day.. why is there no sell the news? 
Who the fcuk is buying this crap at these ridiculous prices. I LOST SEVERAL MORE 1000 after losing 250K earlier this year.. i don&#39;t make a single $ on this POS. When I go long this fucker dumps on me and when I short it goes up.. 
.",Bearish,Bearish,-0.9735
"$NIO fanbois buy and wear NIO t-shirts complete with embroidered rocket emojisðŸš€ðŸš€ðŸš€ , what other EV companies have that? ðŸ¤·â€â™‚ï¸ not even $TSLA and they are a full blown cult.. ðŸ¤£ðŸ˜‚ðŸ¤£ $XPEV $KNDI $WKHS",Bearish,Bullish,0.0
"$TSLA â€œTesla will be higher in 5 yearsâ€. We basically are pricing this for 5 years later. Everything has to go right for Tesla for 5 year for this valuation to be justifiable. TIME TO SELLL.

SHORT POSITION!!! 200 shares. Leggoooo",Bearish,Bullish,0.4724
$TSLA pennant in formation. $SPY $DJIA $NASDAQ,Bearish,Bullish,0.0
$TSLA This company is burning thru cash fast.,Bearish,Bullish,0.0
,,Bullish,0.0
$TSLA Strength in the overall market $SPY and 460 is pretty much confirmed,Bullish,Bullish,0.7506
$TSLA $NIO $XPEV $LI Tesla boosting EV market in China https://www.reuters.com/article/us-autos-china-electric-startups-insight-idUSKCN26F3OF,Bullish,Bullish,0.34
$TSLA Elon is Saving the US 52 mil by reusing booaters.,Bullish,Bullish,0.0
$TSLA  Futures Ripping  20 point gap up tomorrow !!!!!,Bullish,Bullish,0.0
$SPAQ Cramer getting slapped aroundðŸš¨ðŸš¨ðŸš¨ðŸš¨ $FSR $TSLA $NIO $BLNK,Bullish,Bullish,0.0
$SPY $TSLA whole system gonna dump with this tax evasion news just wait until futures tomorrow morning ðŸ˜‚ðŸ˜‚ðŸ˜‚,Bearish,Bearish,-0.3818
$ZM  Doug Kass is short $ZM and $TSLA,Bearish,Bullish,0.0
"$TSLA Sales stats PR  this week, very bullish! ðŸ”¥ 

https://www.tesmanian.com/blogs/tesmanian-blog/tesla-model-3-is-the-best-selling-ev-in-europe-in-august",Bullish,Bullish,0.0
"$TSLA Under VW; 
Audi, Skoda, Bugatti, Bentley, Lamborghini, Ducati, Porsche, Scania, MAN, and Volkswagen 
 
VW Revenue 300 billion profit 16 billion 
 
Tesla Revenue 24 billion profit almost 0 plus regulatory credits. 
 
VW valued at 89 billion  
Tesla valued over 400 billion. 
 
 
VW says it will have 22 million EV&#39;s in 10 years. 
Tesla says they will have 11 million in 10 years 
 
How many auto plants does Tesla have 
 
Tesla has 4 planned factories. 
VW has approximately 30 factories. 
 
 How can Tesla possibly have a valuation five times more than the largest auto company in the world. This is preposterous IMO!",Bearish,Bullish,0.9245
"$TSLA I see the board is filled up with bullish fanboys calling for $550. Makes me feel good about TSLA testing $350 again this week. Looking for a lower high around 415 and a lower low near 330. Break 330, maybe we peek at 300.",Bearish,Bearish,-0.3818
,,Bullish,0.0
"$BA no brainer to load up on Boeing now, big things happening this week
$TSLA $AMZN $AAPL",Bullish,Bearish,-0.296
"$WKHS some swingers and penny flippers and fake bulls hare trying so hard to pump the announcement by next wed, they are pumping while preparing one hundred various plans to flee. Even so much dd but nothing is guaranteed except workhorse is a high speed growing company and seems everything is on the right direction, also the business model is logical. Seen many intelligent people was all in $TSLA in past few years and rewarded, highs and lows, margin calls, countless different opinions, but eventually they were rewarded. Workhorse is probably the same thing, and Cathy believes so.",Bullish,Bullish,0.8994
$TSLA You know you are obsessed  with trading when you spend Saturday here to argue about Tesla stock with strangers.,Bullish,Bearish,-0.4767
$TSLA I start smelling fear coming out of bears. Monday is the day,Bullish,Bearish,-0.4939
"@LargeTrader same, and for that reason im selling $TSLA and going all in on $SPAQ Monday",Bullish,Bullish,0.0
"$TSLA When everyone goes bullish - you need to go bearish and vice - versa.
Bottomline- Do exactly opposite what others are doing. 
 This will go way below 400.",Bearish,Bullish,0.0
$SPY $AMZN $AAPL $TSLA $RUN the midterm election was held on 11/6/2018 and look what happened to the market. I will be short term bullish on stimulus and bearish as we approach election and remainder of  2020. Good luck to you all and happy trading my friends,Bearish,Bullish,0.9136
$TSLA,Bearish,Bullish,0.0
$TSLA  Monday crash again for sure !!!,Bearish,Bearish,-0.3129
$TSLA or down?,Bearish,Bullish,0.0
,,Bullish,0.0
"$CEMI Yes DD is king. Forget the bottom feeders. Can yap all they want and no one cares or listens to them. 10% overnight gainer on CEMI today. 
In regards to what happened to $JE I doubt anyone really knows whatâ€™s gonna happen but be responsible for your own trades and donâ€™t point fingers. I donâ€™t see you pointing fingers when it went up 300-400% the other day so donâ€™t be whining like a bâ€”- when it falls 40%. Regardless I feel bad for anyone who was hurt on the way down and IF there is a r/s on Monday you still have time to get out when it hits scanners and robinhooders jump on so get ready for that. 
$NIO  still not sure why the event is  being compared to $TSLA  battery day. We know for the most part what theyâ€™re announcing and I doubt they will have significant surprises that will make a huge impact on the price so tread carefully there as well. And Iâ€™m not a NIO Bear I have a huge position here that I posted the other day.",Bullish,Bullish,0.4943
"$TSLA  Elon Musk asked to deprecate ICE, laid out a plan to deprecate ICE (Internal Combustion Engine) and gave timeline too. And people do not understand how big a deal is this. Reality is that it is stupid and impractical to have a mechanical engine running on gas/diesel. Even if you want to use gas to produce energy, it is much better/safe to do it at a power plant. It is much easier to optimize at large scale and then small scale(ICE). Only issue is that it is hard to carry that much energy in a very compact way. So, Elon laid out a plan to solve that exact problem. And ICE generates a lot of heat and wear and tear for the vehicle. 
Why do you want to carry Fuel and Mini power plant (ICE)? When you can carry pure energy (Batteries)?",Bullish,Bullish,0.7622
"Imagine telling people to sell $TSLA at $22 (pre split) in 2011. Well @jimcramer doesnâ€™t have to because he did. Guess what. Heâ€™s bullish 5000% later. What a pathetic joke. Hey $SPAQ investors, you just got the buy signal of a lifetime.

https://www.marketwatch.com/story/cnbcs-jim-cramer-a-longtime-tesla-critic-says-he-might-be-about-to-buy-a-model-x-because-his-wife-says-so-2019-11-25",Bullish,Bearish,-0.1027
"$SPAQ  Listen this stupid cramer says sell $tsla when they become a ipo around $20 .. what a stupid manipulated guy .. why ? Because he loves his oil own friends  
https://m.youtube.com/watch?feature=emb_title&amp;time_continue=77&amp;v=lbd8dWNLpHg",Bullish,Bearish,-0.5514
"$TSLA 

Happening Now , under production now in Fremont not next yr not in 3yrs like mainstream media misleading ! 

Expect big surprises after Elon sandbagged his presentation bigly! 

â€œFremont production lineâ€

ðŸ™ðŸ»ðŸ˜‰",Bullish,Bearish,-0.5414
$TSLA $NKLA Trevor Milton is the male version of Elizabeth Holmes . Theranos 2.0,Bearish,Bullish,0.0
$TSLA why isnâ€™t this bankrupt?,Bearish,Bearish,-0.6428
"$TSLA too much of H&amp;S on chart 
https://www.tradingview.com/x/jhpiPeZE/",Bearish,Bullish,0.0
"$TSLA I&#39;ll be bullish here if it goes above 420. So far still 290 in mind 
https://www.tradingview.com/x/wURNiB20/",Bearish,Bullish,0.0
"$TSLA Tesla bulls. Please comment!
When Tesla has the technology and competence to build a hybrid? The car of new normal.

&quot;Gasoline energy density is 47.5 MJ/kg and 34.6 MJ/liter; the gasoline in a fully fueled car has the same energy content as a thousand sticks of dynamite. A lithium-ion battery pack has about 0.3 MJ/kg and about 0.4 MJ/liter.&quot;",Bearish,Bullish,0.7574
,,Bullish,0.0
$TSLA I&#39;m sensing a big gap up since this is the line by which it moves up higher anyway. Shorts are trapped now and they want to deny it,Bullish,Bearish,-0.6705
$TSLA Miss the old Tesla days of jumping $100 - $200 some days lol.,Bullish,Bullish,0.296
$TSLA just picked up 500 shares at 390 looking for 416 tomorrow,Bullish,Bullish,0.296
$TSLA Boom tomorrow!!!!,Bullish,Bullish,0.0
$TSLA chances this closes above $400 tmr ?,Bullish,Bullish,0.2023
$TSLA I have a feeling tesla is selling off tomorrow,Bearish,Bullish,0.128
$TSLA i dont trust this Elon about anything now. This guy fooled us for half year about the greatest invention of all time battery and in end he says roll that electrode in vagina shape is big invention which will take another 2 years. Take this to 300. ðŸ¤®ðŸ¤®ðŸ¤®,Bearish,Bearish,-0.0263
$TSLA Failed to push through $400 again.,Bearish,Bearish,-0.5106
$TSLA too many good stocks blowing through their SMA50. $AAPL $MSFT $SPY $KO,Bearish,Bullish,0.4404
"$TSLA WOW, this is unbelievable. Where all the Bears, when stock goes down Bearish all over this chat, when stock goes up not even single Bearish. Looks like Pumps and dumps ha. Good thing is i bought at 309 after the split dip, i bought today at 353. Going to hold many of my shares. I hate this stock and love this stock.",Bearish,Bullish,0.8941
,,Bullish,0.0
$TSLA I had to exit today. I&#39;m still long on $TSLA Think this will fall this week and pick up at a slower rate past this mark over the next year. Bought in at 180. It&#39;s been a great ride. Now I get to enjoy my model s it paid for!,Bullish,Bullish,0.8221
$TSLA Welp R.I.P Citron,Bullish,Bullish,0.0
"$TSLA LOVE that Morgan Stanley ðŸ» analyst on CNBC. He just proclaimed the DEATH of the ICE cars! He deserves all credit, well-thought analysis even if his price target is 360, he acknowledges that Elon is a pure genius and EVs are taking over Internal Combustion Engines! About time to ditch that old dirty 100-year tech!!! YES Tesla will pullback before the rise has been parabolic, but then, you BTFD and listen to Cathie Wood of ARK Invest!",Bullish,Bullish,0.5243
"$TSLA its just like i hate bears so much , i hate them",Bullish,Bearish,-0.7096
"So green and so strong, the Coronavirus AND the bears deserve this, yes it is a real SLAP on the face 
$AAPL $TSLA $AMZN  $SPY $BTC.X",Bullish,Bullish,0.8657
"$TSLA sold at 868, maybe will go up a bit more but Iâ€™m happy with my profits and itâ€™s to risky to continue",Bearish,Bullish,0.8271
$TSLA i wish I could short 10K shares right now,Bearish,Bullish,0.5994
$TSLA  so overvalued....bulls will get caught here very soon. Gonna feel bad for some of you,Bearish,Bearish,-0.5423
"$TSLA  
i shorted 500 tsla at $735    
my wife just told me that she saved $2 on orange juice and that we should go back and get some more since itâ€™s on sale right now...   
little does she know that i am down almost $85,000",Bearish,Bullish,0.4215
$TSLA doesnâ€™t deserve 600% appreciation in 3 months.,Bearish,Bullish,0.5106
,,Bullish,0.0
"$TSLA Holly cow those that were betting against the stock (Bears &amp; Short Sellers) lost $2.5Billion today alone. Thatâ€™s why playing the â€œTrendâ€ is extremely important folks 

Market Update: MW Latest loss by Tesla shorts: $2.5 billion on Monday aloneâ€

2/3/20, 4:15 PM",Bullish,Bearish,-0.4033
$NIO $BIMI $WWR $TSLA $IBIO over 6500 followers now and I canâ€™t thank everyone enough. Our class is doing well and students are learning how to find the best swing plays to grow their accounts. Letâ€™s see another push in these names.!! ðŸ’°ðŸš€ðŸ‘ðŸ’ª,Bullish,Bullish,0.8856
$TSLA just fry the stupid bears all the way to 7000,Bullish,Bearish,-0.5267
"$TSLA at these levels I don&#39;t hold it long at all... buy a few calls and watch it... if it starts to move down - bam sell it fast. Pure unadulterated price chasing. Don&#39;t hold it over night...
I made $14k on this today doing just this... only using about $7k of capital.
I don&#39;t consider this very risky because I have already made $100k on Tesla over the past 1.5 months and now I just day trade it and watch every trade when I have some.

But my 3 favorite public people are:
1) our great President Donald Trump
2) Patrick Mahomes and his &quot;keep firing never say die&quot; mentality
3) Elon Musk - sorry I doubted you for so many years Elon... I am now a hard core believer and last week I put deposit on my new cyber truck ðŸ‘ðŸ¤“",Bullish,Bullish,0.5112
$ROKU looking good ðŸ‘€. Canâ€™t wait to see what happens with the shorts in this one. Ahem $amzn $tsla,Bullish,Bullish,0.4404
$TSLA if 800 is possible so is 600 tomorrow,Bearish,Bullish,0.0
"$TSLA man, when the chart looks like a penny stock pump n dump...................?????????????????????????.................",Bearish,Bearish,-0.264
$TSLA Where is the revenue to justify this move,Bearish,Bullish,0.0
$TSLA target 170 to close that gap,Bearish,Bullish,0.0
"$TSLA when is the rug gonna get pulled? When it does, it will not be pretty. No position.",Bearish,Bearish,-0.1877
,,Bullish,0.0
$TSLA Congrats longs.,Bullish,Bullish,0.5267
$TSLA lol! You rotten SOBs trying to hold this down in ah it will soar over 2000 in no time! S&amp;P time $$$ last chance to cover under 2000,Bullish,Bearish,-0.6988
$NKLA A day will come when this will be in talks to be added to s&amp;p .. just like $TSLA,Bullish,Bullish,0.3612
$TSLA no way this puppy doest rocket to $1800 by open tomorrow lmao too much retard strength with this one,Bullish,Bullish,0.3612
$AAPL $MSFT $TSLA Cramer goes bullish on Microsoft and Tesla earnings!!,Bullish,Bullish,0.0
"$TSLA I really hope this is bullish, but the signs after today&#39;s earnings keep pointing to bearish. What a strange earning report and call. Hope the signs are wrong about this.",Bearish,Bearish,-0.1036
$TSLA so where&#39;s that guy with the 20k on 1750 calls 7/24,Bearish,Bullish,0.0
